"model","site","rmse_base","rmse_corr","improvement_pct"
"LSTM_2h","Bush_S_T_1_W",7.73978105700318,1.39934766417267,81.9200613833062
"RF","Bush_S_T_2_W",8.02422845480734,1.95661749648182,75.616129232841
"LSTM_2h","Bush_S_T_2_W",8.02422845480734,1.75459990776807,78.1337244116364
"RF","Rock_L_T_1_W",7.84202903146075,1.63957917652079,79.0924112886716
"LSTM_2h","Rock_L_T_1_W",7.84202903146075,1.65984689668702,78.8339613379647
"RF","Rock_M_T_2_W",8.11146991425244,1.56032799525513,80.763930437398
"LSTM_2h","Rock_M_T_2_W",8.11146991425244,1.52383741925972,81.2137943508583
"RF","Rock_S_T_2_W",5.35117535618924,1.09141260263933,79.6042452360118
"LSTM_2h","Rock_S_T_2_W",5.35117535618924,0.932531976215971,82.5733242858993
"RF","Bush_L_T_1_S",9.64626176265297,3.42928700938392,64.4495754545978
"LSTM_2h","Bush_L_T_1_S",9.64626176265297,3.08589323567586,68.0094391837531
"RF","Bush_L_T_2_S",9.63692990756453,3.30173653359666,65.7387096796776
"LSTM_2h","Bush_L_T_2_S",9.63692990756453,3.1268893197019,67.5530552811488
"RF","Bush_M_T_1_S",10.4036144947423,3.55582917505778,65.8212136094163
"LSTM_2h","Bush_M_T_1_S",10.4036144947423,3.12006659218047,70.0097827177539
"RF","Bush_M_T_2_S",7.94223712679744,1.85520967723303,76.6412202555188
"LSTM_2h","Bush_M_T_2_S",7.94223712679744,1.83714529873575,76.8686672356188
"RF","Bush_S_T_1_S",9.63893801935502,2.96838719640813,69.2042091105099
"LSTM_2h","Bush_S_T_1_S",9.63893801935502,2.65072948987051,72.4997765879619
"RF","Bush_S_T_2_S",7.88044454718675,1.9731279477332,74.9617177569305
"LSTM_2h","Bush_S_T_2_S",7.88044454718675,2.00803100528826,74.5188105408964
"RF","Rock_L_T_1_S",7.39921600467465,3.5484594879125,52.0427639134922
"LSTM_2h","Rock_L_T_1_S",7.39921600467465,4.03139758395998,45.5158819338017
"RF","Rock_L_T_2_S",7.08545705434997,2.95336521881511,58.3179292999603
"LSTM_2h","Rock_L_T_2_S",7.08545705434997,2.93275096084207,58.6088668896586
"RF","Rock_M_T_1_S",7.78784857444108,3.1552020816351,59.4855748481019
"LSTM_2h","Rock_M_T_1_S",7.78784857444108,3.58217508843507,54.0030208061389
"RF","Rock_M_T_2_S",8.73670574460559,2.52010836765426,71.1549359527155
"LSTM_2h","Rock_M_T_2_S",8.73670574460559,2.55837388117236,70.7169503476524
"RF","Rock_S_T_1_S",8.63291065374732,1.78581117289264,79.3139157287876
"LSTM_2h","Rock_S_T_1_S",8.63291065374732,1.79564624456152,79.1999904020543
"RF","Rock_S_T_2_S",8.11778136236643,2.33223525217701,71.2700410608603
"LSTM_2h","Rock_S_T_2_S",8.11778136236643,2.5296166692114,68.8385710788103
