"time","shade_temp","microhabitat","site_id","Location","lat","long"
"2020-09-10 20:00:00",32.2155411407255,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-10 21:00:00",31.727511554143,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-10 22:00:00",30.9407307402778,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-10 23:00:00",30.5907467598743,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11",30.3032063308968,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 01:00:00",29.647452791357,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 02:00:00",29.3852478453103,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 03:00:00",29.0483508392494,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 04:00:00",28.791794827733,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 05:00:00",30.3235340484009,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 06:00:00",32.2940853005705,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 07:00:00",34.0083199526837,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 08:00:00",36.2770551910932,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 09:00:00",38.5857830621047,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 10:00:00",39.6652821614213,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 11:00:00",41.2221503477732,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 12:00:00",40.8646816169951,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 13:00:00",39.4330141025491,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 14:00:00",37.5385593012117,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 15:00:00",35.2478806875468,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 16:00:00",34.1350983511159,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 17:00:00",33.2592581215028,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
