"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"LSTM_2h",28,4,6.62909250705573,2.78261377905441,58.0242125737013
"RF",35,0,6.62909250705573,2.23416570014314,66.2975633879723
"LSTM_2h",35,0,6.62909250705573,2.49340130670822,62.3869888064717
"RF",35,1,6.62909250705573,2.23132258223174,66.3404518815084
"LSTM_2h",35,1,6.62909250705573,2.4780514654475,62.6185414849775
"RF",35,2,6.62909250705573,2.24670928569061,66.1083431359676
"LSTM_2h",35,2,6.62909250705573,2.48505226947635,62.5129342088474
"RF",35,3,6.62909250705573,2.23254563023791,66.3220021765923
"LSTM_2h",35,3,6.62909250705573,1.91615122114138,71.0948184973748
"RF",35,4,6.62909250705573,2.24711223963373,66.1022645672542
"LSTM_2h",35,4,6.62909250705573,1.91992386027128,71.0379081566927
"RF",42,0,6.62909250705573,2.06692417324746,68.8204053413417
"LSTM_2h",42,0,6.62909250705573,1.89945951831636,71.3466131858222
"RF",42,1,6.62909250705573,2.08032156938819,68.6183053385665
"LSTM_2h",42,1,6.62909250705573,2.01082634883588,69.6666422033538
"RF",42,2,6.62909250705573,2.07917097285862,68.6356621114332
"LSTM_2h",42,2,6.62909250705573,1.85473635363263,72.0212630664224
"RF",42,3,6.62909250705573,2.08197389279157,68.593380005248
"LSTM_2h",42,3,6.62909250705573,1.87380503197303,71.7336116522944
"RF",42,4,6.62909250705573,2.08024865177633,68.6194053022763
"LSTM_2h",42,4,6.62909250705573,1.92192962346064,71.0076511767633
