"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"LSTM_2h",7,1,5.49043454444813,1.55918589122849,71.6017761689714
"RF",7,2,5.49043454444813,1.34250880399278,75.5482231301653
"LSTM_2h",7,2,5.49043454444813,1.15467008980217,78.9694225392459
"RF",7,3,5.49043454444813,1.34623424225495,75.4803698804451
"LSTM_2h",7,3,5.49043454444813,1.20786808461493,78.0005011472851
"RF",7,4,5.49043454444813,1.34147656566295,75.5670237974253
"LSTM_2h",7,4,5.49043454444813,1.37981611201348,74.8687266764935
"RF",14,0,5.49043454444813,2.56989120476566,53.1933003852252
"LSTM_2h",14,0,5.49043454444813,2.4432858487373,55.4992263552632
"RF",14,1,5.49043454444813,2.57936651331088,53.0207219040775
"LSTM_2h",14,1,5.49043454444813,2.27513708189978,58.5618030142919
"RF",14,2,5.49043454444813,2.58413762792163,52.9338232338151
"LSTM_2h",14,2,5.49043454444813,2.35356650172355,57.1333291988072
"RF",14,3,5.49043454444813,2.56382303598976,53.3038229445377
"LSTM_2h",14,3,5.49043454444813,2.35398410450083,57.1257231928728
"RF",14,4,5.49043454444813,2.57594148053369,53.0831037201152
"LSTM_2h",14,4,5.49043454444813,2.23503869161133,59.2921348298127
"RF",21,0,5.49043454444813,2.37074367581461,56.8204728310279
"LSTM_2h",21,0,5.49043454444813,2.41745682461673,55.96966314695
"RF",21,1,5.49043454444813,2.43548351595875,55.6413341012965
"LSTM_2h",21,1,5.49043454444813,2.05760881414359,62.5237529473104
"RF",21,2,5.49043454444813,2.43505234949596,55.6491871493439
"LSTM_2h",21,2,5.49043454444813,2.38941443227929,56.4804131087321
"RF",21,3,5.49043454444813,2.42994193215698,55.7422657080192
"LSTM_2h",21,3,5.49043454444813,1.89489598390622,65.487322204354
"RF",21,4,5.49043454444813,2.42007118700581,55.9220464716594
"LSTM_2h",21,4,5.49043454444813,2.00173667006148,63.5413799425836
"RF",28,0,5.49043454444813,2.65736846064005,51.6000338565705
"LSTM_2h",28,0,5.49043454444813,2.40972862606153,56.1104206497056
"RF",28,1,5.49043454444813,2.69306797721611,50.9498209037149
"LSTM_2h",28,1,5.49043454444813,2.43625776379309,55.6272323425364
"RF",28,2,5.49043454444813,2.6825502445699,51.1413855706108
"LSTM_2h",28,2,5.49043454444813,2.40165102183501,56.2575420507738
"RF",28,3,5.49043454444813,2.67381162373967,51.3005463940299
"LSTM_2h",28,3,5.49043454444813,2.51860029405896,54.1274871110931
"RF",28,4,5.49043454444813,2.6754255088987,51.2711519053795
"LSTM_2h",28,4,5.49043454444813,2.5747393139084,53.1049993754693
"RF",35,0,5.49043454444813,2.85000743685993,48.0914049008775
"LSTM_2h",35,0,5.49043454444813,3.00404640725148,45.2858169434122
"RF",35,1,5.49043454444813,2.87860891782721,47.5704719813475
"LSTM_2h",35,1,5.49043454444813,2.58265178207078,52.9608856792157
"RF",35,2,5.49043454444813,2.87348854265305,47.663731907
"LSTM_2h",35,2,5.49043454444813,2.73757243606754,50.1392391821565
"RF",35,3,5.49043454444813,2.85096874823368,48.07389606135
"LSTM_2h",35,3,5.49043454444813,2.78596210419319,49.2578942224104
"RF",35,4,5.49043454444813,2.8663592566644,47.793581118951
"LSTM_2h",35,4,5.49043454444813,2.72324179303004,50.4002502719252
"RF",42,0,5.49043454444813,2.91614397265352,46.8868274624584
"LSTM_2h",42,0,5.49043454444813,2.66100543170445,51.5337919036804
"RF",42,1,5.49043454444813,2.89873307843177,47.203940690579
"LSTM_2h",42,1,5.49043454444813,3.02261541155521,44.9476104835519
"RF",42,2,5.49043454444813,2.8973736712447,47.2287002460581
"LSTM_2h",42,2,5.49043454444813,2.91660982319385,46.8783426961515
"RF",42,3,5.49043454444813,2.87640660954446,47.6105837113922
"LSTM_2h",42,3,5.49043454444813,2.64436735023928,51.8368295108219
"RF",42,4,5.49043454444813,2.88104292988984,47.5261401157561
"LSTM_2h",42,4,5.49043454444813,2.63511491962248,52.005348606021
