"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"LSTM_2h",21,3,1.73502254090803,1.39194494899483,19.7736677088731
"RF",21,4,1.73502254090803,1.44329184856145,16.8142306781733
"LSTM_2h",21,4,1.73502254090803,1.34061796557736,22.7319568496356
"RF",28,0,1.73502254090803,1.45315951574133,16.2454964428985
"LSTM_2h",28,0,1.73502254090803,1.58671756194354,8.54772635327675
"RF",28,1,1.73502254090803,1.45602842503494,16.0801435886287
"LSTM_2h",28,1,1.73502254090803,1.59315845655415,8.17649805746237
"RF",28,2,1.73502254090803,1.45574180986937,16.0966629800953
"LSTM_2h",28,2,1.73502254090803,1.54827165367375,10.7636000588522
"RF",28,3,1.73502254090803,1.45488994749897,16.14576103792
"LSTM_2h",28,3,1.73502254090803,1.67272342644279,3.59068040883397
"RF",28,4,1.73502254090803,1.4518313267247,16.3220481294217
"LSTM_2h",28,4,1.73502254090803,1.41728207914123,18.3133333587991
"RF",35,0,1.73502254090803,1.4840710242302,14.4638764489186
"LSTM_2h",35,0,1.73502254090803,1.51751845274686,12.5360958162154
"RF",35,1,1.73502254090803,1.4660492881268,15.5025797325066
"LSTM_2h",35,1,1.73502254090803,1.63638968759134,5.68481682463144
"RF",35,2,1.73502254090803,1.47151355841414,15.1876402917494
"LSTM_2h",35,2,1.73502254090803,1.60962457732124,7.22745443532755
"RF",35,3,1.73502254090803,1.48014763662966,14.6900053612547
"LSTM_2h",35,3,1.73502254090803,1.45752429985902,15.9939271396311
"RF",35,4,1.73502254090803,1.4638800846326,15.6276042461977
"LSTM_2h",35,4,1.73502254090803,1.58428533536755,8.68791050181877
"RF",42,0,1.73502254090803,1.45811760202985,15.9597314933591
"LSTM_2h",42,0,1.73502254090803,1.37043385096375,21.0134843408703
"RF",42,1,1.73502254090803,1.46106391905462,15.7899171563519
"LSTM_2h",42,1,1.73502254090803,1.40902490157302,18.7892451912695
"RF",42,2,1.73502254090803,1.46080068586974,15.8050889007336
"LSTM_2h",42,2,1.73502254090803,1.44952731221852,16.4548426293119
"RF",42,3,1.73502254090803,1.46923095712682,15.3192006163851
"LSTM_2h",42,3,1.73502254090803,1.54618358285341,10.8839483984908
"RF",42,4,1.73502254090803,1.44787902617922,16.5498434722659
"LSTM_2h",42,4,1.73502254090803,1.38630017678548,20.0990105834614
