"model","perc","train_size","ts_name","rmse_corr","rmse_base","run"
"LSTM_2h",21,504,"ALL",3.54892568099044,8.18555617172755,4
"RF",28,672,"ALL",3.11862188877352,8.18555617172755,0
"RF",28,672,"ALL",3.135080571432,8.18555617172755,1
"RF",28,672,"ALL",3.1417135008594,8.18555617172755,2
"RF",28,672,"ALL",3.15406114190173,8.18555617172755,3
"RF",28,672,"ALL",3.15809395445245,8.18555617172755,4
"LSTM_2h",28,672,"ALL",2.80625709804464,8.18555617172755,0
"LSTM_2h",28,672,"ALL",3.08658731777278,8.18555617172755,1
"LSTM_2h",28,672,"ALL",2.56680835684103,8.18555617172755,2
"LSTM_2h",28,672,"ALL",2.93777875919384,8.18555617172755,3
"LSTM_2h",28,672,"ALL",2.75775045407845,8.18555617172755,4
"RF",35,840,"ALL",3.02657336442497,8.18555617172755,0
"RF",35,840,"ALL",3.05179581045559,8.18555617172755,1
"RF",35,840,"ALL",3.0714659561925,8.18555617172755,2
"RF",35,840,"ALL",3.05834556367393,8.18555617172755,3
"RF",35,840,"ALL",3.06971425521402,8.18555617172755,4
"LSTM_2h",35,840,"ALL",2.68399093844424,8.18555617172755,0
"LSTM_2h",35,840,"ALL",2.43277247292145,8.18555617172755,1
"LSTM_2h",35,840,"ALL",3.23668460874979,8.18555617172755,2
"LSTM_2h",35,840,"ALL",4.18134948393059,8.18555617172755,3
"LSTM_2h",35,840,"ALL",2.30929418602984,8.18555617172755,4
"RF",42,1008,"ALL",3.07296586801619,8.18555617172755,0
"RF",42,1008,"ALL",3.04881159763636,8.18555617172755,1
"RF",42,1008,"ALL",3.05547025629874,8.18555617172755,2
"RF",42,1008,"ALL",3.06105593576296,8.18555617172755,3
"RF",42,1008,"ALL",3.06583683103997,8.18555617172755,4
"LSTM_2h",42,1008,"ALL",2.82367311253958,8.18555617172755,0
"LSTM_2h",42,1008,"ALL",7.74003078498767,8.18555617172755,1
"LSTM_2h",42,1008,"ALL",3.54620309784901,8.18555617172755,2
"LSTM_2h",42,1008,"ALL",3.77271971415097,8.18555617172755,3
"LSTM_2h",42,1008,"ALL",2.29822724320764,8.18555617172755,4
