"habitat","scenario","model","ts_name","rmse_corr","rmse_base"
"Desert","Specialized","RF","Rock_S_T_1_S",0.750573260933553,8.63291065374732
"Desert","Specialized","RF","Rock_S_T_2_S",0.813854146628348,8.11778136236643
"Desert","Specialized","RF","Bush_L_T_1_W",0.887555219617928,6.39880351936504
"Desert","Specialized","RF","Bush_L_T_2_W",1.22210821259445,7.56030200996146
"Desert","Specialized","RF","Bush_M_T_2_W",1.05026023311821,7.40754409195575
"Desert","Specialized","RF","Bush_S_T_1_W",1.16179017855499,7.73978105700318
"Desert","Specialized","RF","Bush_S_T_2_W",1.22334172472104,8.02422845480734
"Desert","Specialized","RF","Rock_L_T_1_W",1.0364358265062,7.84202903146075
"Desert","Specialized","RF","Rock_M_T_2_W",1.01928990250913,8.11146991425244
"Desert","Specialized","RF","Rock_S_T_2_W",0.68198737922463,5.35117535618924
"Desert","Specialized","LSTM_2h","Bush_M_T_1_W",1.3007792178124,7.19934235981949
"Desert","Specialized","LSTM_2h","Rock_L_T_2_W",1.263440892191,7.64061454013023
"Desert","Specialized","LSTM_2h","Rock_M_T_1_W",1.21253172017376,7.99015927800288
"Desert","Specialized","LSTM_2h","Rock_S_T_1_W",1.40579919816065,8.10613326404813
"Desert","Specialized","LSTM_2h","Bush_L_T_1_W",1.35662663699383,6.39880351936504
"Desert","Specialized","LSTM_2h","Bush_L_T_2_W",1.34295796959546,7.56030200996146
"Desert","Specialized","LSTM_2h","Bush_M_T_2_W",1.22873841572841,7.40754409195575
"Desert","Specialized","LSTM_2h","Bush_S_T_1_W",1.3729825249669,7.73978105700318
"Desert","Specialized","LSTM_2h","Bush_S_T_2_W",1.58383482833678,8.02422845480734
"Desert","Specialized","LSTM_2h","Rock_L_T_1_W",1.15282178975167,7.84202903146075
"Desert","Specialized","LSTM_2h","Rock_M_T_2_W",1.19117922826248,8.11146991425244
"Desert","Specialized","LSTM_2h","Rock_S_T_2_W",0.98554329464907,5.35117535618924
"Desert","Specialized","LSTM_2h","Bush_L_T_1_S",1.71738489697173,9.64626176265297
"Desert","Specialized","LSTM_2h","Bush_L_T_2_S",1.69231508469787,9.63692990756453
"Desert","Specialized","LSTM_2h","Bush_M_T_1_S",2.53610019590095,10.4036144947423
"Desert","Specialized","LSTM_2h","Bush_M_T_2_S",2.47918719103793,7.94223712679744
"Desert","Specialized","LSTM_2h","Bush_S_T_1_S",1.95454665047332,9.63893801935502
"Desert","Specialized","LSTM_2h","Bush_S_T_2_S",1.67682856157099,7.88044454718675
"Desert","Specialized","LSTM_2h","Rock_L_T_1_S",1.45396834588137,7.39921600467465
"Desert","Specialized","LSTM_2h","Rock_L_T_2_S",1.06618185582814,7.08545705434997
"Desert","Specialized","LSTM_2h","Rock_M_T_1_S",1.00930001126374,7.78784857444108
"Desert","Specialized","LSTM_2h","Rock_M_T_2_S",1.23816280446877,8.73670574460559
"Desert","Specialized","LSTM_2h","Rock_S_T_1_S",1.16923165255965,8.63291065374732
"Desert","Specialized","LSTM_2h","Rock_S_T_2_S",1.10308754271955,8.11778136236643
